id	layer	check	verdict	subject	evidence	autofix	action
C1-933e2d	conservation	C1	IDENTISCH	488 source artefacts	all present in fsh-generated, matched by id or canonical url (source: fsh-generated/resources)	-	-
C2-bd3456	conservation	C2	NICHT PRUEFBAR	artifact index	no rendered output with an artifacts.html under output	-	build the IG (step 7), then re-run verification
C3-5cae38	conservation	C3	NICHT PRUEFBAR	1 source pages	no page map at ./migration-log/page-map.tsv	-	write step 5's ledger: source_page<TAB>target_page|RETIRED<TAB>reason
C4-ef59ff	conservation	C4	DIVERGIERT	index.md	1 of 1 PROSE runs of the source page are in no target page (first: # MII IG Modul Onkologie Feel free to modify this index page…)	-	map the missing text to a target page section, or record the loss in the report's content map
C5-f09e26	conservation	C5	IDENTISCH	input/includes/menu.xml	all 29 menu entries resolve to a real page	-	-
C5-d64c1f	conservation	C5	IDENTISCH	input/translations/de/includes/menu.xml	all 29 menu entries resolve to a real page	-	-
C5-f01ede	conservation	C5	IDENTISCH	21 narrative pages	every one is reachable from a menu entry	-	-
C5-2d86b5	conservation	C5	NICHT PRUEFBAR	target pages without a source counterpart	no page map at ./migration-log/page-map.tsv; 1 target page(s) are not the template's (ImplementationGuide-mii-ig-onko)	-	write step 5's ledger, then re-run: only it says which target page each source page became
C7-b2b947	conservation	C7	NICHT PRUEFBAR	marker source= values	106 marker(s) to resolve, but no page map at migration-log/page-map.tsv to resolve them against	-	write step 5's ledger (source_page<TAB>target_page|RETIRED<TAB>reason); until it exists, a marker's source= names a page nothing can confirm
C7-c16051	conservation	C7	NICHT PRUEFBAR	unmarked derived content	1 source page(s) lost prose (C4), but no page map at migration-log/page-map.tsv says which target page replaced them	-	write step 5's ledger, then re-run: without it the page that would have to carry the marker is unknown
C7-331cdf	conservation	C7	IDENTISCH	106 derived-content marker(s)	both language mirrors carry it (de, default-language) (migration-log/derived-content.tsv). The markers are review items, not defects: they are queue 2 rows, and whether any may remain at publication is a Gate-D decision (spec section 9d).	-	-
F1-093008	fidelity	F1	IDENTISCH	id	mii-ig-onko-de-v2026 (identical to the source)	-	-
F1-bacf3c	fidelity	F1	IDENTISCH	packageId	de.medizininformatikinitiative.kerndatensatz.onkologie (identical to the source)	-	-
F1-489e82	fidelity	F1	IDENTISCH	canonical	https://www.medizininformatik-initiative.de/fhir/ext/modul-o… (identical to the source)	-	-
F1-6cbfea	fidelity	F1	IDENTISCH	version	2026.0.3 (identical to the source)	-	-
F1-8a3995	fidelity	F1	IDENTISCH	status	active (identical to the source)	-	-
F1-b5b102	fidelity	F1	IDENTISCH	title	MII IG Kerndatensatz-Modul Onkologie (identical to the source)	-	-
F1-7bae24	fidelity	F1	IDENTISCH	license	CC0-1.0 (identical to the source)	-	-
F1-5451f2	fidelity	F1	IDENTISCH	publisher	target NUM-DIZ (template >= v1.1 publisher chrome, spec 2.2); source declared Medizininformatik Initiative -- deliberately not carried	-	-
F1-f60f40	fidelity	F1	IDENTISCH	fhirVersion	4.0.1 (identical to the source)	-	-
F2-d14403	fidelity	F2	DIVERGIERT	de.basisprofil.r4	target 1.5.4  vs  source pin 1.5.x (the source tree (--source))	-	the source pin is the evidence; a registry dist-tag is not. Restore the pin or make the bump a Gate-A decision
F2-0519f5	fidelity	F2	DIVERGIERT	de.medizininformatikinitiative.kerndatensatz.base	target 2026.0.1  vs  source pin 2026.0.x (the source tree (--source))	-	the source pin is the evidence; a registry dist-tag is not. Restore the pin or make the bump a Gate-A decision
F2-ce5cda	fidelity	F2	DIVERGIERT	de.medizininformatikinitiative.kerndatensatz.meta	target 2026.0.0  vs  source pin 2026.0.x (the source tree (--source))	-	the source pin is the evidence; a registry dist-tag is not. Restore the pin or make the bump a Gate-A decision
F2-6bfac0	fidelity	F2	NICHT PRUEFBAR	de.medizininformatikinitiative.kerndatensatz.biobank	target-only dependency 2026.0.0 (not in the source)	-	confirm at Gate A that this is template machinery (hl7.fhir.uv.crmi is) and not an accidental addition
F2-fb1c14	fidelity	F2	NICHT PRUEFBAR	de.medizininformatikinitiative.kerndatensatz.medikation	target-only dependency 2026.0.1 (not in the source)	-	confirm at Gate A that this is template machinery (hl7.fhir.uv.crmi is) and not an accidental addition
F2-60512e	fidelity	F2	NICHT PRUEFBAR	de.medizininformatikinitiative.kerndatensatz.molgen	target-only dependency 2026.0.4 (not in the source)	-	confirm at Gate A that this is template machinery (hl7.fhir.uv.crmi is) and not an accidental addition
F2-ec259d	fidelity	F2	NICHT PRUEFBAR	de.medizininformatikinitiative.kerndatensatz.studie	target-only dependency 2026.0.2 (not in the source)	-	confirm at Gate A that this is template machinery (hl7.fhir.uv.crmi is) and not an accidental addition
F2-fd0e73	fidelity	F2	NICHT PRUEFBAR	hl7.fhir.uv.crmi	target-only dependency 2.0.0 (not in the source)	-	confirm at Gate A that this is template machinery (hl7.fhir.uv.crmi is) and not an accidental addition
F2-047205	fidelity	F2	NICHT PRUEFBAR	hl7.fhir.uv.extensions.r4	target-only dependency 5.3.0 (not in the source)	-	confirm at Gate A that this is template machinery (hl7.fhir.uv.crmi is) and not an accidental addition
F2-8f9355	fidelity	F2	NICHT PRUEFBAR	hl7.terminology.r4	target-only dependency 7.3.0 (not in the source)	-	confirm at Gate A that this is template machinery (hl7.fhir.uv.crmi is) and not an accidental addition
F3-1a29c4	fidelity	F3	IDENTISCH	license	CC0-1.0 asserted from tier P (package/package.json)	-	-
F4-e7fa94	fidelity	F4	IDENTISCH	368 FSH files	no fhir_comments rules, no whitespace-bearing code references	-	-
P1-8d8889	provenance	P1	NICHT PRUEFBAR	rendered template version	no `Templates:` line in the rendered qa.html (qa.html not found)	-	build the IG (step 7); the rendered output is the only place this value can be READ rather than assumed
P2-264584	provenance	P2	IDENTISCH	vendored template ref	v0.11.1 == latest release v0.11.1	-	-
P3-a28a47	provenance	P3	NICHT PRUEFBAR	IG Publisher version	no `IG Publisher Version:` in the rendered qa output	-	build the IG (step 7)
